eid,subject,ts_all_zero,mean_global_nonzero_frac,mean_atlas_nonzero_frac,bbox_x0,bbox_x1,bbox_y0,bbox_y1,bbox_z0,bbox_z1,com_x,com_y,com_z
1058954,1058954_20227_2_0,0,0.005085145724323061,0.23046092184368738,24,42,50,70,27,50,32.73834422657952,59.85904139433551,38.70087145969499
1059028,1059028_20227_2_0,1,0.023761700543634207,0.0,0,37,0,29,0,34,15.998274897426333,12.561450951137635,14.875279746363297
1059977,1059977_20227_2_0,1,0.0019343495500366154,0.0,34,50,7,20,19,34,42.08877434135166,12.438144329896907,25.72852233676976
1063056,1063056_20227_2_0,0,0.0960527525705467,0.4868486973947896,12,72,54,107,15,78,44.468846597462516,78.69284890426759,47.45922722029989
1065049,1065049_20227_2_0,1,0.0027298037178065406,0.0,81,90,52,69,21,43,86.91477272727273,60.70738636363637,31.34172077922078
1068257,1068257_20227_2_0,1,0.03836570728394501,0.0,0,47,0,39,0,35,20.099768986427954,16.73687554143806,15.920820098180767
1068597,1068597_20227_2_0,0,0.058801567421387965,0.42560120240480964,9,50,29,73,9,73,28.33099706081845,50.24178536438315,43.26870902102645
1070509,1070509_20227_2_0,1,0.036825761193136936,0.0,0,39,0,35,0,37,14.675090252707582,13.676052948255114,16.350300842358603
1071018,1071018_20227_2_0,0,0.005061880351728118,0.004258517034068136,21,39,30,52,29,60,29.810899540380827,40.74370759465966,44.83891442328737
1071322,1071322_20227_2_0,1,0.0025082287407118538,0.0,23,38,31,47,37,55,29.924028268551236,39.39134275618375,46.83966431095406
1074252,1074252_20227_2_0,1,0.0010092740206662982,0.0,39,51,0,6,27,43,45.096597145993414,2.3117453347969263,33.96926454445664
1075281,1075281_20227_2_0,0,0.06285528162733527,0.40756513026052105,43,90,35,92,14,62,66.55055961928262,62.744690226491585,38.17317352604213
1075327,1075327_20227_2_0,1,0.034027269232431046,0.0,0,41,0,39,0,31,14.806830761216384,15.277690955264701,13.363808035423585
1077324,1077324_20227_2_0,1,0.030955132175013212,0.0,0,36,0,44,0,29,13.1001037901292,15.893310905121506,13.059446691242261
1078494,1078494_20227_2_0,1,0.020157783541189127,0.0,0,26,0,42,0,27,10.43011816433086,18.54141247595493,10.311074471008519
1079510,1079510_20227_2_0,1,0.04247924673370787,0.0,0,44,0,35,0,38,16.04684036199567,14.24022637769606,16.54651435724904
1080342,1080342_20227_2_0,1,0.027439845163406005,0.0,0,33,0,33,0,34,14.14361272609819,14.042756782945736,15.276929909560723
1084416,1084416_20227_2_0,1,0.0023697443800276747,0.0,23,38,32,48,39,55,29.912108461898082,39.541841982234686,47.41140719962599
1084571,1084571_20227_2_0,1,0.0022379072686563362,0.0,22,40,33,48,39,55,30.33910891089109,40.07079207920792,47.87326732673267
1085217,1085217_20227_2_0,0,0.06252735066123513,0.5189128256513026,8,50,29,75,6,73,27.93135952089867,51.8005988766633,41.66285724410425
1085261,1085261_20227_2_0,1,0.00956982326071952,0.0,35,56,0,26,16,42,45.628270432970595,12.107084973373466,27.963070155128502
1088904,1088904_20227_2_0,0,0.020777085602168777,0.14604208416833667,25,60,25,65,27,64,43.13287831929188,44.11720166364509,44.64738189186307
1089426,1089426_20227_2_0,0,0.09562954436429585,0.33554609218436876,7,76,59,106,18,83,43.2678120438379,81.94476239023147,47.89594290877916
1089987,1089987_20227_2_0,1,0.011063238606337709,0.0,17,57,5,34,0,21,36.56048467854997,16.98027238133387,7.2826957740837175
1090467,1090467_20227_2_0,1,0.0380699046895236,0.0,0,43,0,37,0,33,15.253877717312225,14.75101126211332,14.97648633704857
1094222,1094222_20227_2_0,1,0.03320854969206617,0.0,27,60,32,64,49,90,43.46215179316097,47.69881567973311,70.58448707256046
1094939,1094939_20227_2_0,1,0.04390508171131218,0.0,0,41,0,38,0,45,13.853393893515014,14.164875094625284,19.309109260661117
1095450,1095450_20227_2_0,1,0.0022212891453742348,0.0,22,39,32,47,39,56,29.85286783042394,39.34862842892768,47.98004987531172
1096521,1096521_20227_2_0,0,0.004298554555636923,0.001628256513026052,22,39,30,52,29,60,30.141752577319586,40.58762886597938,45.151546391752575
1097117,1097117_20227_2_0,0,0.09106731558591626,0.46968937875751504,16,75,54,108,17,79,44.681861313868616,78.64610705596107,47.66925790754258
1097909,1097909_20227_2_0,0,0.0022722513901060125,0.01002004008016032,40,56,31,47,29,45,47.17308629936616,39.40029254022428,36.40273037542662
1100558,1100558_20227_2_0,1,0.002038489789271118,0.0,23,38,32,47,40,55,30.095108695652176,39.67445652173913,47.792391304347824
1101156,1101156_20227_2_0,1,0.036282902499254956,0.0,6,45,1,45,0,41,25.239419847328243,24.365282442748093,20.15242748091603
1101643,1101643_20227_2_0,1,0.032912747097644766,0.0,0,40,0,37,0,36,17.986299986535613,15.409620304295139,15.086239396795476
1101862,1101862_20227_2_0,1,0.03279974385932648,0.0,0,42,0,34,0,31,16.085827197189758,13.744747686279808,13.32304262649463
1103202,1103202_20227_2_0,1,0.0306637610801337,0.0,0,46,0,40,0,29,15.812125153551557,14.63183756051738,12.101488546860322
1103932,1103932_20227_2_0,1,0.04459971926450402,0.0,0,48,0,42,0,36,20.388628064684404,18.133243907891796,15.974811833966763
1104267,1104267_20227_2_0,0,0.05246895457602182,0.3999248496993988,8,51,28,70,18,70,28.66611064189189,48.81855996621621,45.69064611486486
1105121,1105121_20227_2_0,1,0.02451173184109972,0.0,0,35,0,38,0,33,13.108158192090395,17.06734463276836,12.262418079096046
1105787,1105787_20227_2_0,1,0.0029192503232224978,0.0,22,39,32,47,38,55,29.79924098671727,39.42656546489564,47.0853889943074
1106939,1106939_20227_2_0,1,0.034089310226017557,0.0,0,42,0,35,0,31,15.57601559961001,14.291192720181995,13.60627234319142
1108184,1108184_20227_2_0,1,0.00264892885116698,0.0,22,40,32,48,39,55,30.476787954830616,39.63613550815558,47.82559598494354
1108382,1108382_20227_2_0,1,0.045622287783796,0.0,0,39,0,38,0,42,16.490189412336086,15.659349198640117,18.953156872268092
1109233,1109233_20227_2_0,1,0.043361115142544725,0.0,0,48,0,43,0,35,21.000945348629244,18.39788957306012,15.785686910753979
1111295,1111295_20227_2_0,0,0.01718757097323485,0.25551102204408815,30,57,33,59,32,63,44.16746164754415,46.123114606162176,47.344527523527134
1111524,1111524_20227_2_0,1,0.028434716810561148,0.0,0,40,0,35,0,29,14.875204550767553,14.358411906802774,12.33378789059456
1111963,1111963_20227_2_0,1,0.033062310207183684,0.0,0,38,0,44,0,29,13.79271520959689,15.805415005193847,13.404014341721677
1119729,1119729_20227_2_0,0,0.0069873669026809465,0.33617234468937873,24,46,48,76,25,47,34.488029173933725,61.52528936102743,35.8249563976534
